,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2868,10.64,29515.36,26366.36,0.17073170699999998,2478.0413533834585,0.10669021146955347,NY,10930,2017,17.44,4.219733333333334,9,2017-09-01,127.3,9.225378595860994
2869,8.28,41814.0,38502.0,0.220762194,4650.0,0.07920792079207921,NY,11358,2017,17.44,4.219733333333334,9,2017-09-01,127.3,17.311256897380545
2870,8.97,35880.0,33297.0,0.211563769,3712.040133779264,0.07198996655518394,NY,10314,2017,17.44,4.219733333333334,9,2017-09-01,127.3,13.819372122417137
2871,6.09,25754.61,23318.61,0.173652695,3829.0,0.09458500827618822,NY,11421,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.254796270982819
2872,5.2,22152.0,20072.0,0.19411445,3860.0,0.09389671361502347,NY,12543,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.37020465029869
2873,4.48,20250.0,20250.0,0.17177914100000002,4520.089285714285,0.0,CT,6484,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,14.17729481633182
2874,3.99,13379.04,13379.04,0.173780488,3353.142857142857,0.0,CT,6479,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,10.51715836614923
2875,8.4,36000.0,36000.0,0.17177914100000002,4285.714285714285,0.0,CT,6460,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,13.442175825855356
2876,5.32,12402.0,12402.0,0.16969697,2331.203007518797,0.0,CT,6355,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,7.311836166327112
2877,8.4,37440.0,37440.0,0.17177914100000002,4457.142857142857,0.0,CT,6516,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,13.97986285888957
2878,6.27,26334.0,23547.0,0.173780488,3755.5023923444983,0.10583276372750056,CT,6066,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,11.779162143540207
2879,14.26,38264.09,38264.09,0.18902439,2683.316269284712,0.0,CT,6118,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,8.416242120557445
2880,6.27,28080.0,28080.0,0.174846626,4478.468899521531,0.0,CT,6461,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,14.04675215486512
2881,7.125,24235.91,24235.91,0.174846626,3401.531228070176,0.0,CT,6405,2017,19.82,4.4071428571428575,9,2017-09-01,127.3,10.668928863799966
2882,7.0,22562.76,18985.0302949,0.16867469899999998,2712.1471849857144,0.1585679103575981,TX,78253,2017,11.01,5.614847826086949,9,2017-09-01,127.3,12.019740195298203
